affectation_id,code_smartex_ens,creneau_id,id_session,jour,seance,date_examen,h_debut,h_fin,cod_salle,position
4302,3,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4303,11,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4304,20,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4305,24,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4306,27,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4307,33,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4308,50,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4309,56,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4310,58,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4311,65,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4312,67,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4313,72,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4314,74,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4315,77,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4316,80,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4317,84,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4318,92,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4319,100,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4320,106,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4321,110,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4322,112,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4323,113,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4324,120,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4325,159,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4326,166,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4327,207,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4328,227,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4329,311,39,1,1,S4,13/05/2025,14:30,16:00,A124,TITULAIRE
4330,371,39,1,1,S4,13/05/2025,14:30,16:00,A124,RESERVE
4331,380,39,1,1,S4,13/05/2025,14:30,16:00,A124,RESERVE
4332,450,39,1,1,S4,13/05/2025,14:30,16:00,A124,RESERVE
4333,451,39,1,1,S4,13/05/2025,14:30,16:00,A124,RESERVE
4334,3,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4335,18,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4336,23,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4337,38,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4338,65,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4339,72,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4340,77,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4341,80,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4342,84,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4343,88,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4344,90,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4345,107,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4346,109,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
4347,110,116,1,2,S3,14/05/2025,12:30,14:00,A408,TITULAIRE
