affectation_id,code_smartex_ens,creneau_id,id_session,jour,seance,date_examen,h_debut,h_fin,cod_salle,position
4123,3,2,1,1,S1,13/05/2025,08:30,10:00,B203,TITULAIRE
4124,8,2,1,1,S1,13/05/2025,08:30,10:00,B203,TITULAIRE
4125,18,3,1,1,S1,13/05/2025,08:30,10:00,A102,TITULAIRE
4126,20,3,1,1,S1,13/05/2025,08:30,10:00,A102,TITULAIRE
4127,23,4,1,1,S1,13/05/2025,08:30,10:00,A124,TITULAIRE
4128,24,4,1,1,S1,13/05/2025,08:30,10:00,A124,TITULAIRE
4129,27,5,1,1,S1,13/05/2025,08:30,10:00,A131,TITULAIRE
4130,38,5,1,1,S1,13/05/2025,08:30,10:00,A131,TITULAIRE
4131,40,6,1,1,S1,13/05/2025,08:30,10:00,A209,TITULAIRE
4132,45,6,1,1,S1,13/05/2025,08:30,10:00,A209,TITULAIRE
4133,65,7,1,1,S1,13/05/2025,08:30,10:00,B302,TITULAIRE
4134,80,7,1,1,S1,13/05/2025,08:30,10:00,B302,TITULAIRE
4135,86,8,1,1,S1,13/05/2025,08:30,10:00,B303,TITULAIRE
4136,90,8,1,1,S1,13/05/2025,08:30,10:00,B303,TITULAIRE
4137,100,9,1,1,S1,13/05/2025,08:30,10:00,B401,TITULAIRE
4138,106,9,1,1,S1,13/05/2025,08:30,10:00,B401,TITULAIRE
4139,107,15,1,1,S1,13/05/2025,08:30,10:00,A206,TITULAIRE
4140,108,15,1,1,S1,13/05/2025,08:30,10:00,A206,TITULAIRE
4141,109,15,1,1,S1,13/05/2025,08:30,10:00,A206,TITULAIRE
4142,115,15,1,1,S1,13/05/2025,08:30,10:00,A206,TITULAIRE
4143,117,17,1,1,S1,13/05/2025,08:30,10:00,A207,TITULAIRE
4144,118,17,1,1,S1,13/05/2025,08:30,10:00,A207,TITULAIRE
4145,120,17,1,1,S1,13/05/2025,08:30,10:00,A207,TITULAIRE
4146,206,17,1,1,S1,13/05/2025,08:30,10:00,A207,TITULAIRE
4147,207,18,1,1,S1,13/05/2025,08:30,10:00,A208,TITULAIRE
4148,238,18,1,1,S1,13/05/2025,08:30,10:00,A208,TITULAIRE
4149,240,15,1,1,S1,13/05/2025,08:30,10:00,A206,TITULAIRE
4150,300,15,1,1,S1,13/05/2025,08:30,10:00,A206,TITULAIRE
4151,315,18,1,1,S1,13/05/2025,08:30,10:00,A208,TITULAIRE
4152,451,18,1,1,S1,13/05/2025,08:30,10:00,A208,TITULAIRE
4153,3,152,1,3,S3,15/05/2025,12:30,14:00,A206,TITULAIRE
4154,11,152,1,3,S3,15/05/2025,12:30,14:00,A206,TITULAIRE
4155,13,153,1,3,S3,15/05/2025,12:30,14:00,A207,TITULAIRE
4156,17,153,1,3,S3,15/05/2025,12:30,14:00,A207,TITULAIRE
4157,23,163,1,3,S3,15/05/2025,12:30,14:00,A208,TITULAIRE
4158,27,163,1,3,S3,15/05/2025,12:30,14:00,A208,TITULAIRE
4159,38,164,1,3,S3,15/05/2025,12:30,14:00,A209,TITULAIRE
4160,40,164,1,3,S3,15/05/2025,12:30,14:00,A209,TITULAIRE
4161,45,168,1,3,S3,15/05/2025,12:30,14:00,A102,TITULAIRE
4162,50,168,1,3,S3,15/05/2025,12:30,14:00,A102,TITULAIRE
4163,57,173,1,3,S3,15/05/2025,12:30,14:00,B302,TITULAIRE
4164,67,173,1,3,S3,15/05/2025,12:30,14:00,B302,TITULAIRE
4165,72,174,1,3,S3,15/05/2025,12:30,14:00,B303,TITULAIRE
4166,78,174,1,3,S3,15/05/2025,12:30,14:00,B303,TITULAIRE
4167,80,175,1,3,S3,15/05/2025,12:30,14:00,B401,TITULAIRE
4168,86,175,1,3,S3,15/05/2025,12:30,14:00,B401,TITULAIRE
4169,90,176,1,3,S3,15/05/2025,12:30,14:00,A131,TITULAIRE
4170,107,176,1,3,S3,15/05/2025,12:30,14:00,A131,TITULAIRE
4171,108,177,1,3,S3,15/05/2025,12:30,14:00,A124,TITULAIRE
4172,110,177,1,3,S3,15/05/2025,12:30,14:00,A124,TITULAIRE
4173,111,178,1,3,S3,15/05/2025,12:30,14:00,A405,TITULAIRE
4174,112,178,1,3,S3,15/05/2025,12:30,14:00,A405,TITULAIRE
