creneau_id,id_session,dateExam,h_debut,h_fin,type_ex,semestre,enseignant,cod_salle
1,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,4,B203
2,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,4,B203
3,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,5,A102
4,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,5,A124
5,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,5,A131
6,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,5,A209
7,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,5,B302
8,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,5,B303
9,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,5,B401
10,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A206
11,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A206
12,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A207
13,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A207
14,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A208
15,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A206
16,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A208
17,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A207
18,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A208
19,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,22,A405
20,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,22,A406
21,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,22,A407
22,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,22,A408
23,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,27,B401
24,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,29,A208
25,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,29,A209
26,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,33,B401
27,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,36,A208
28,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,36,A209
29,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,46,B302
30,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,46,B303
31,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,46,B401
32,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,52,A102
33,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,52,B302
34,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,52,B303
35,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,56,A102
36,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,57,A102
37,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,57,A124
38,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,57,A131
39,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,57,A209
40,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,65,A206
41,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,65,A207
42,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,65,B302
43,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,65,B303
44,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,66,A131
45,1,13/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,66,A124
46,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,67,A206
47,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,67,A207
48,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,88,A206
49,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,88,A206
50,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,88,A207
51,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,88,A208
52,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,88,A207
