id,code_smartex_ens,id_session,grade_code_ens,quota_grade,quota_realise,quota_majoritaire,diff_quota_grade,diff_quota_majoritaire,quota_ajuste,quota_ajuste_maj
1,3,1,PR,8,8,8,0,0,8,8
2,4,1,PR,8,8,8,0,0,8,8
3,5,1,PR,8,8,8,0,0,8,8
4,8,1,PR,8,8,8,0,0,8,8
5,11,1,PR,8,8,8,0,0,8,8
6,12,1,MC,4,4,4,0,0,4,4
7,13,1,MA,12,11,10,-1,1,13,11
8,17,1,MA,12,10,10,-2,0,14,12
9,18,1,MA,12,10,10,-2,0,14,12
10,20,1,MA,12,10,10,-2,0,14,12
11,23,1,MA,12,10,10,-2,0,14,12
12,24,1,MA,12,10,10,-2,0,14,12
13,26,1,MC,4,4,4,0,0,4,4
14,27,1,MA,12,10,10,-2,0,14,12
15,33,1,MA,12,10,10,-2,0,14,12
16,35,1,MA,12,10,10,-2,0,14,12
17,38,1,MA,12,10,10,-2,0,14,12
18,40,1,MA,12,10,10,-2,0,14,12
19,44,1,MC,4,4,4,0,0,4,4
20,45,1,MA,12,11,10,-1,1,13,11
21,50,1,MA,12,10,10,-2,0,14,12
22,56,1,MA,12,10,10,-2,0,14,12
23,57,1,MA,12,10,10,-2,0,14,12
24,58,1,MA,12,10,10,-2,0,14,12
25,65,1,MA,12,10,10,-2,0,14,12
26,67,1,MA,12,11,10,-1,1,13,11
27,72,1,MA,12,11,10,-1,1,13,11
28,74,1,MA,12,10,10,-2,0,14,12
29,76,1,MA,12,9,10,-3,-1,15,13
30,77,1,MA,12,9,10,-3,-1,15,13
31,78,1,MA,12,11,10,-1,1,13,11
32,80,1,V,7,7,7,0,0,7,7
33,84,1,MA,12,10,10,-2,0,14,12
34,86,1,MA,12,10,10,-2,0,14,12
35,88,1,MA,12,10,10,-2,0,14,12
36,89,1,MA,12,10,10,-2,0,14,12
37,90,1,MA,12,10,10,-2,0,14,12
38,91,1,AS,4,4,4,0,0,4,4
39,92,1,MA,12,10,10,-2,0,14,12
40,98,1,AS,4,4,4,0,0,4,4
41,99,1,AS,4,4,4,0,0,4,4
42,100,1,PTC,4,4,4,0,0,4,4
43,102,1,PES,4,4,4,0,0,4,4
44,104,1,PES,4,4,4,0,0,4,4
45,106,1,PTC,4,4,4,0,0,4,4
46,107,1,PTC,4,4,4,0,0,4,4
47,108,1,PTC,4,4,4,0,0,4,4
48,109,1,PTC,4,4,4,0,0,4,4
49,110,1,PTC,4,4,4,0,0,4,4
50,111,1,PTC,4,3,4,-1,-1,5,5
51,112,1,PTC,4,4,4,0,0,4,4
52,113,1,PTC,4,4,4,0,0,4,4
53,115,1,PTC,4,4,4,0,0,4,4
54,116,1,PTC,4,4,4,0,0,4,4
55,117,1,PTC,4,4,4,0,0,4,4
56,118,1,PTC,4,4,4,0,0,4,4
57,119,1,PTC,4,4,4,0,0,4,4
58,120,1,PTC,4,4,4,0,0,4,4
59,125,1,EX,4,4,4,0,0,4,4
60,127,1,EX,4,4,4,0,0,4,4
61,128,1,EX,4,4,4,0,0,4,4
62,130,1,VA,9,7,7,-2,0,11,9
63,135,1,AC,6,6,6,0,0,6,6
64,157,1,AC,6,6,6,0,0,6,6
65,159,1,V,7,7,7,0,0,7,7
66,166,1,V,7,7,7,0,0,7,7
67,188,1,V,7,6,7,-1,-1,8,8
68,197,1,V,7,7,7,0,0,7,7
69,206,1,PTC,4,4,4,0,0,4,4
70,207,1,PTC,4,4,4,0,0,4,4
71,216,1,MA,12,9,10,-3,-1,15,13
72,223,1,AC,6,6,6,0,0,6,6
73,225,1,PES,4,4,4,0,0,4,4
74,227,1,AC,6,6,6,0,0,6,6
75,232,1,AC,6,6,6,0,0,6,6
76,238,1,V,7,7,7,0,0,7,7
77,240,1,AC,6,6,6,0,0,6,6
78,300,1,AC,6,6,6,0,0,6,6
79,311,1,V,7,7,7,0,0,7,7
80,315,1,V,7,7,7,0,0,7,7
81,320,1,AC,6,6,6,0,0,6,6
82,371,1,V,7,7,7,0,0,7,7
83,375,1,V,7,7,7,0,0,7,7
84,380,1,V,7,7,7,0,0,7,7
85,401,1,VA,9,8,7,-1,1,10,8
86,450,1,V,7,7,7,0,0,7,7
87,451,1,MA,12,10,10,-2,0,14,12
