voeu_id,code_smartex_ens,id_session,jour,seance
1,57,1,6,S3
2,240,1,7,S1
3,65,1,4,S2
4,99,1,6,S3
5,56,1,3,S2
6,207,1,1,S2
7,166,1,6,S1
8,223,1,6,S4
9,13,1,5,S4
10,128,1,2,S2
11,17,1,2,S3
12,80,1,4,S4
13,76,1,6,S4
14,110,1,4,S1
15,223,1,3,S2
16,77,1,1,S3
17,17,1,4,S4
18,232,1,6,S1
19,3,1,5,S3
20,128,1,2,S3
21,77,1,5,S2
22,76,1,1,S3
23,5,1,3,S2
24,65,1,3,S4
25,166,1,1,S3
26,206,1,4,S3
27,159,1,6,S2
28,130,1,5,S1
29,401,1,3,S1
30,227,1,5,S3
31,206,1,6,S3
32,77,1,3,S1
33,44,1,3,S3
34,116,1,6,S4
35,23,1,2,S2
36,118,1,6,S1
37,206,1,6,S1
38,100,1,6,S1
39,5,1,7,S2
40,225,1,4,S4
41,80,1,6,S2
42,207,1,1,S3
43,135,1,2,S1
44,223,1,5,S1
45,116,1,1,S3
46,225,1,6,S4
47,76,1,2,S3
48,159,1,1,S1
49,117,1,4,S1
50,35,1,6,S4
51,50,1,6,S4
52,72,1,7,S4
53,232,1,4,S2
54,223,1,1,S4
55,216,1,3,S3
56,23,1,5,S2
57,216,1,5,S3
58,238,1,7,S4
59,45,1,1,S4
60,159,1,3,S2
61,157,1,4,S4
62,112,1,5,S2
63,371,1,1,S1
64,115,1,4,S2
65,12,1,3,S3
66,77,1,5,S4
67,232,1,1,S3
68,50,1,2,S3
69,371,1,2,S4
70,102,1,7,S3
71,23,1,2,S4
72,102,1,2,S3
73,5,1,5,S3
74,110,1,5,S1
75,118,1,5,S2
76,157,1,2,S2
77,11,1,4,S1
78,91,1,3,S2
79,56,1,6,S1
80,118,1,1,S2
81,102,1,6,S3
82,207,1,3,S3
83,91,1,5,S3
84,240,1,5,S1
85,35,1,5,S3
86,65,1,4,S1
87,188,1,4,S3
88,5,1,1,S2
89,80,1,7,S4
90,227,1,6,S4
91,11,1,1,S1
92,223,1,3,S4
93,188,1,4,S2
94,135,1,7,S1
95,12,1,4,S2
96,130,1,3,S1
97,18,1,5,S2
98,57,1,4,S1
99,72,1,7,S1
100,112,1,7,S1
101,108,1,7,S4
102,44,1,7,S4
103,100,1,4,S1
104,5,1,7,S3
105,102,1,4,S3
106,8,1,5,S1
107,119,1,6,S2
108,12,1,3,S2
109,401,1,2,S2
110,50,1,3,S3
111,12,1,7,S2
112,12,1,2,S2
113,12,1,1,S1
114,113,1,5,S2
115,207,1,4,S2
116,206,1,4,S2
117,113,1,1,S1
118,157,1,6,S1
119,3,1,7,S3
120,18,1,4,S1
121,12,1,3,S1
122,238,1,6,S4
123,56,1,1,S2
124,76,1,2,S1
125,23,1,4,S1
126,135,1,4,S2
127,157,1,6,S4
128,38,1,3,S4
129,157,1,3,S3
130,72,1,5,S4
131,13,1,6,S1
132,110,1,5,S3
133,320,1,7,S2
134,227,1,5,S1
135,112,1,3,S1
136,130,1,1,S3
137,119,1,6,S4
138,56,1,4,S4
139,371,1,5,S4
140,18,1,2,S1
141,99,1,1,S2
142,135,1,1,S4
143,48,1,3,S2
144,240,1,5,S3
145,401,1,1,S4
146,102,1,2,S4
147,115,1,1,S1
148,240,1,1,S3
149,20,1,4,S3
150,84,1,2,S2
151,44,1,2,S4
152,35,1,3,S4
153,57,1,6,S4
154,48,1,5,S4
155,84,1,5,S2
156,216,1,3,S1
157,44,1,7,S2
158,225,1,3,S4
159,17,1,2,S2
160,110,1,1,S1
161,116,1,4,S1
162,116,1,7,S2
163,48,1,4,S3
164,117,1,7,S3
165,56,1,6,S4
166,3,1,6,S1
167,232,1,7,S1
168,159,1,4,S1
169,11,1,6,S2
170,115,1,6,S2
171,17,1,6,S1
172,20,1,3,S2
173,188,1,1,S4
174,44,1,2,S3
175,108,1,5,S3
176,13,1,1,S1
177,104,1,4,S2
178,320,1,3,S3
179,238,1,1,S4
180,118,1,7,S2
181,371,1,3,S1
182,104,1,5,S4
183,115,1,3,S3
184,72,1,3,S1
185,17,1,1,S2
186,23,1,6,S3
187,130,1,5,S4
188,65,1,6,S4
189,11,1,2,S1
190,104,1,2,S2
191,76,1,3,S4
192,166,1,7,S1
193,320,1,2,S3
194,206,1,7,S4
195,159,1,7,S4
196,104,1,7,S1
197,119,1,4,S1
198,157,1,5,S4
199,8,1,2,S3
200,100,1,5,S2
201,232,1,7,S3
202,57,1,7,S2
203,23,1,3,S3
204,227,1,3,S2
205,99,1,1,S4
206,65,1,3,S2
207,104,1,5,S3
208,108,1,4,S3
209,45,1,6,S1
210,232,1,5,S3
211,119,1,4,S3
212,206,1,2,S3
213,44,1,5,S1
214,38,1,5,S1
215,84,1,2,S4
216,75,1,4,S2
217,118,1,1,S4
218,135,1,3,S1
219,118,1,7,S3
220,166,1,7,S4
221,127,1,2,S2
222,207,1,1,S1
223,38,1,3,S2
224,3,1,3,S2
225,23,1,5,S1
226,17,1,4,S2
227,23,1,7,S3
228,23,1,7,S4
229,207,1,2,S2
230,166,1,4,S1
231,135,1,4,S1
232,112,1,7,S4
233,80,1,6,S1
234,238,1,3,S4
235,18,1,4,S4
236,112,1,6,S3
237,84,1,6,S1
238,57,1,3,S3
239,77,1,4,S2
240,207,1,6,S3
241,104,1,3,S1
242,116,1,6,S2
243,100,1,1,S2
244,216,1,5,S4
245,108,1,2,S3
246,65,1,7,S2
247,99,1,7,S3
248,18,1,5,S4
249,135,1,7,S3
250,127,1,6,S2
251,159,1,5,S3
252,108,1,5,S4
253,48,1,5,S1
254,99,1,6,S4
255,100,1,1,S3
256,38,1,2,S1
257,159,1,7,S2
258,11,1,5,S4
259,206,1,5,S4
260,76,1,3,S1
261,206,1,7,S3
262,227,1,3,S4
263,99,1,4,S1
264,75,1,5,S3
265,118,1,2,S1
266,99,1,3,S2
267,13,1,4,S4
268,75,1,3,S1
269,65,1,5,S4
270,225,1,2,S1
271,77,1,1,S1
272,135,1,6,S3
273,35,1,2,S3
274,110,1,2,S1
275,57,1,3,S4
276,127,1,3,S3
277,3,1,1,S1
278,18,1,6,S1
279,223,1,6,S3
280,157,1,3,S1
281,240,1,3,S3
282,100,1,1,S1
283,20,1,6,S2
284,13,1,4,S1
285,232,1,4,S1
286,216,1,7,S2
287,12,1,6,S1
288,48,1,1,S1
289,20,1,2,S3
290,128,1,3,S1
291,8,1,4,S3
292,401,1,4,S3
293,102,1,5,S4
294,18,1,6,S3
295,18,1,1,S4
296,130,1,4,S3
297,91,1,1,S3
298,401,1,2,S3
299,50,1,5,S1
300,91,1,1,S4
301,118,1,6,S2
302,119,1,3,S1
303,84,1,1,S1
304,113,1,1,S2
305,118,1,7,S1
306,13,1,6,S3
307,72,1,2,S2
308,38,1,2,S2
309,128,1,7,S3
310,8,1,2,S1
311,100,1,6,S2
312,17,1,5,S2
313,116,1,6,S1
314,135,1,1,S3
315,80,1,1,S1
316,35,1,5,S2
317,118,1,3,S2
318,17,1,6,S4
319,75,1,6,S4
320,45,1,7,S1
321,128,1,6,S2
322,159,1,3,S3
323,20,1,4,S2
324,188,1,1,S1
325,117,1,6,S3
326,115,1,1,S4
327,240,1,6,S2
328,227,1,2,S1
329,102,1,4,S2
330,100,1,4,S2
331,45,1,5,S4
332,50,1,6,S1
333,108,1,2,S2
334,72,1,1,S1
